words,tag
creating,O
detailed,O
project,O
roadmaps,O
project,O
plans,O
and,O
schedules,O
using,O
microsoft,O
project,O
    ,O
excellent,O
capacity,O
for,O
nurturing,O
productive,O
longterm,O
clientvendor,O
relationships,O
    ,O
articulate,O
and,O
concise,O
in,O
conveying,O
complex,O
technical,O
concepts,O
to,O
diverse,O
audiences,O
    ,O
ability,O
to,O
quickly,O
adapt,O
to,O
new,O
and,O
emerging,O
technologies,O
    ,O
experience,O
working,O
in,O
both,O
waterfall,B-SKILLS
and,O
agile,B-SKILLS
methodologies,O
      ,O
core,O
competencies,O
    ,O
excellent,O
business,O
analysis,O
skills,O
  ,O
extensive,O
experience,O
working,O
on,O
salesforcecom,O
sap,B-SKILLS
ecc,B-SKILLS
and,O
siebel,B-SKILLS
crm,I-SKILLS
   ,O
conversion,O
and,O
migration,O
projects,O
  ,O
full,O
life,O
cycle,O
project,O
management,O
  ,O
quality,B-SKILLS
assurancecontrol,I-SKILLS
  ,O
system,O
analysis,O
design,O
  ,O
development,O
  ,O
offshoreonsite,O
project,O
delivery,O
   ,O
systems,O
launchimplementation,O
  ,O
excellent,O
communication,O
skills,O
  ,O
team,O
leadership,O
  ,O
mentoring,O
  ,O
process,O
reengineering,O
       ,O
technical,O
skill,O
set,O
    ,O
crm,B-SKILLS
systems,O
  ,O
salesforcecom,O
sfdc,B-SKILLS
siebel,B-SKILLS
  ,O
erp,B-SKILLS
systems,O
  ,O
sap,B-SKILLS
sd,B-SKILLS
and,O
mm,B-SKILLS
modules,O
  ,O
platforms,O
  ,O
zos,O
mvs,O
windows,O
7xpnt,O
mainframe,O
web,O
applications,O
orientation,O
  ,O
programming,O
  ,O
cobol,B-SKILLS
jcl,B-SKILLS
cics,B-SKILLS
mantis,B-SKILLS
c,B-SKILLS
c,B-SKILLS
db2,B-SKILLS
vsam,B-SKILLS
  ,O
tools,O
  ,O
ms,B-SKILLS
office,I-SKILLS
access,O
word,B-SKILLS
excel,I-SKILLS
power,B-SKILLS
pointvisio,I-SKILLS
quality,O
center,O
mercury,O
qc,O
lotus,O
notes,O
endevor,O
fileaid,O
xpeditor,O
dump,O
master,O
mastercat,O
ditto,O
selcopy,O
  ,O
management,O
tools,O
  ,O
microsoft,B-SKILLS
project,I-SKILLS
sharepoint,B-SKILLS
jira,B-SKILLS
rally,B-SKILLS
  ,O
domains,O
  ,O
finance,O
media,O
insurance,O
semiconductors,O
  ,O
professional,O
experience,O
    ,O
intel,B-COMPANY
corporation,I-COMPANY
san,B-LOCATION
jose,I-LOCATION
usa,I-LOCATION
                                                   ,O
nov,B-DATE
2016,I-DATE
–,O
present,O
    ,O
employment,O
type,O
contract,O
    ,O
roles,O
and,O
responsibilities,O
    ,O
senior,O
business,O
systems,B-SKILLS
analyst,I-SKILLS
                                 ,O
nov,B-DATE
2016,I-DATE
–,O
present,O
     ,O
understanding,O
current,O
business,O
rules,O
and,O
processes,O
built,O
on,O
siebel,B-SKILLS
crm,I-SKILLS
and,O
sap,B-SKILLS
ecc,B-SKILLS
systems,O
     ,O
support,O
  ,O
maintenance,O
of,O
current,O
as,O
is,O
business,O
processes,O
in,O
siebel,B-SKILLS
and,O
sap,B-SKILLS
and,O
data,O
integration,O
     ,O
gap,B-SKILLS
analysis,I-SKILLS
and,O
mitigation,O
between,O
business,O
requirements,O
and,O
system,O
capabilities,O
for,O
siebel,B-SKILLS
to,O
sfdc,B-SKILLS
migration,O
and,O
integration,O
     ,O
conduct,O
detail,O
business,O
and,O
system,O
requirements,O
gathering,O
sessions,O
     ,O
creating,O
and,O
maintaining,O
user,O
stories,O
requirement,O
documents,O
     ,O
work,O
closely,O
with,O
business,O
stakeholders,O
and,O
subject,O
matter,O
experts,O
smes,O
     ,O
liaise,O
between,O
the,O
business,O
and,O
technical,O
teams,O
     ,O
identify,O
and,O
solve,O
complex,O
issues,O
and,O
problems,O
     ,O
develop,O
functional,O
strategies,O
to,O
achieve,O
strategic,O
business,O
objectives,O
     ,O
data,O
mapping,O
and,O
reconciliation,O
     ,O
work,O
with,O
the,O
business,O
assisting,O
the,O
user,B-SKILLS
acceptance,I-SKILLS
testing,I-SKILLS
     ,O
provide,O
input,O
into,O
the,O
cutover,O
plan,O
and,O
provide,O
post,O
golive,O
support,O
        ,O
charles,B-COMPANY
schwab,I-COMPANY
denver,I-COMPANY
co,B-LOCATION
usa,I-LOCATION
                                              ,O
jun,B-DATE
2015,I-DATE
–,O
sep,B-DATE
2016,I-DATE
    ,O
employment,O
type,O
contract,O
    ,O
roles,O
and,O
responsibilities,O
    ,O
senior,O
salesforcecom,O
business,B-SKILLS
analyst,I-SKILLS
                 ,O
jun,B-SKILLS
2015,I-SKILLS
–,O
sep,B-SKILLS
2016,I-SKILLS
     ,O
understanding,O
current,O
business,O
rules,O
and,O
processing,O
built,O
on,O
siebel,B-SKILLS
      ,O
participate,O
in,O
business,O
process,O
workshops,O
     ,O
gap,B-SKILLS
analysis,I-SKILLS
and,O
mitigation,O
between,O
business,O
requirements,O
and,O
system,O
capabilities,O
     ,O
creating,O
and,O
maintaining,O
user,O
stories,O
     ,O
conduct,O
detail,O
business,O
and,O
system,O
requirements,O
gathering,O
sessions,O
     ,O
define,O
and,O
document,O
the,O
requirements,O
to,O
be,O
implemented,O
for,O
process,O
areas,O
covered,O
by,O
the,O
lynx,O
data,O
migration,O
solutions,O
     ,O
salesforce,O
solution,O
designing,O
     ,O
develop,O
and,O
document,O
process,O
models,O
     ,O
work,O
closely,O
with,O
business,O
stakeholders,O
and,O
subject,O
matter,O
experts,O
smes,O
     ,O
liaise,O
between,O
the,O
business,O
and,O
technicalquality,O
assurance,O
teams,O
     ,O
identify,O
and,O
solve,O
complex,O
issues,O
and,O
problems,O
     ,O
develop,O
functional,O
strategies,O
to,O
achieve,O
strategic,O
business,O
objectives,O
     ,O
data,O
mapping,O
and,O
reconciliation,O
     ,O
manage,O
critical,O
communications,O
with,O
internal,O
and,O
external,O
organizations,O
     ,O
perform,O
product,O
owner,O
validations,O
and,O
functional,B-SKILLS
testing,I-SKILLS
of,O
the,O
salesforcecom,O
solutions,O
and,O
other,O
inboundoutbound,O
integration,O
points,O
     ,O
work,O
with,O
the,O
business,O
assisting,O
the,O
user,B-SKILLS
acceptance,I-SKILLS
testing,I-SKILLS
     ,O
breakfix,O
resolution,O
     ,O
project,O
status,O
reporting,O
and,O
project,O
tracking,O
assistance,O
                                                                               ,O
provide,O
input,O
into,O
the,O
cutover,O
plan,O
and,O
provide,O
post,O
golive,O
support,O
      ,O
tata,B-COMPANY
consultancy,I-COMPANY
services,I-COMPANY
new,B-LOCATION
york,I-LOCATION
ny,O
usa,B-LOCATION
                                                            ,O
apr,B-DATE
2014,I-DATE
–,O
june,B-DATE
2015,I-DATE
    ,O
employment,O
type,O
full,O
time,O
  ,O
client,O
thomson,O
reuters,O
    ,O
roles,O
and,O
responsibilities,O
    ,O
senior,O
business,O
systems,B-SKILLS
analyst,I-SKILLS
                                                                                                     ,O
apr,B-DATE
2014,I-DATE
–,O
june,B-DATE
2015,I-DATE
     ,O
business,O
requirement,O
gathering,O
–,O
define,O
and,O
scope,O
and,O
perform,O
gap,B-SKILLS
analysis,I-SKILLS
     ,O
analysis,O
design,O
and,O
providing,O
technical,O
solutions,O
for,O
major,O
projects,O
and,O
releases,O
     ,O
assist,O
in,O
the,O
salesforcecom,O
and,O
sap,O
solution,O
designing,O
     ,O
managing,O
and,O
designing,O
the,O
entire,O
product,O
and,O
pricing,O
structure,O
for,O
thomson,B-COMPANY
reuters,I-COMPANY
fr,I-COMPANY
group,I-COMPANY
within,O
salesforcecom,O
and,O
sap,O
     ,O
prepare,O
functional,O
specification,O
documents,O
and,O
perform,O
functional,B-SKILLS
unit,I-SKILLS
testing,I-SKILLS
of,O
the,O
salesforcecom,O
and,O
sap,O
solutions,O
     ,O
liaise,O
with,O
the,O
business,O
and,O
the,O
development,O
and,O
qa,B-SKILLS
teams,O
      ,O
assisting,O
business,O
during,O
the,O
user,B-SKILLS
acceptance,I-SKILLS
testing,I-SKILLS
     ,O
prepare,O
and,O
present,O
progress,O
reports,O
and,O
weekly,O
status,O
reports,O
     ,O
offshoreonsite,O
delivery,O
management,O
     ,O
project,O
managementpmo,O
activities,O
such,O
as,O
project,O
planning,O
capacity,O
planning,O
scoping,O
estimation,O
and,O
change,O
management,O
      ,O
review,O
  ,O
tracking,O
completion,O
of,O
design,O
documents,O
source,O
code,O
unit,B-SKILLS
test,I-SKILLS
plans,O
and,O
unit,B-SKILLS
test,I-SKILLS
case,O
documents,O
     ,O
involved,O
in,O
all,O
phases,O
of,O
project,O
lifecycle,O
from,O
design,O
to,O
deployment,O
     ,O
coordination,O
across,O
teams,O
and,O
vendors,O
     ,O
manage,O
and,O
provide,O
post,O
release,O
support,O
and,O
application,O
maintenance,O
     ,O
bau,O
business,O
as,O
usual,O
activities,O
including,O
defect,O
management,O
      ,O
thomson,B-COMPANY
reuters,I-COMPANY
new,B-LOCATION
york,I-LOCATION
ny,O
                                                                                                   ,O
oct,B-DATE
2011,I-DATE
–,O
mar,B-DATE
2014,I-DATE
    ,O
employment,O
type,O
full,O
time,O
    ,O
roles,O
and,O
responsibilities,O
    ,O
senior,O
business,O
systems,B-SKILLS
analyst,I-SKILLS
                                                                                                          ,O
oct,B-DATE
2011,I-DATE
–,O
mar,B-DATE
2014,I-DATE
     ,O
business,O
requirement,O
gathering,O
–,O
define,O
and,O
scope,O
and,O
perform,O
gap,B-SKILLS
analysis,I-SKILLS
     ,O
analysis,O
design,O
and,O
providing,O
technical,O
solutions,O
for,O
major,O
projects,O
and,O
releases,O
     ,O
managing,O
and,O
designing,O
the,O
entire,O
product,O
and,O
pricing,O
structure,O
for,O
thomson,B-COMPANY
reuters,I-COMPANY
fr,I-COMPANY
group,O
     ,O
analysis,O
design,O
and,O
setting,O
up,O
the,O
product,O
and,O
pricing,O
loader,O
ppl,O
within,O
sap,O
ecc,O
which,O
is,O
a,O
custom,O
made,O
bolton,O
tool,O
used,O
as,O
the,O
one,O
point,O
of,O
entry,O
for,O
the,O
thomson,B-COMPANY
reuters,I-COMPANY
gpa,O
team,O
     ,O
setting,O
up,O
the,O
product,O
and,O
pricing,O
data,O
in,O
sap,B-SKILLS
ecc,I-SKILLS
material,O
master,O
to,O
support,O
billing,O
and,O
invoicing,O
     ,O
setting,O
up,O
the,O
product,O
and,O
pricing,O
structure,O
in,O
siebel,B-SKILLS
crm,I-SKILLS
and,O
the,O
interface,O
between,O
sap,B-SKILLS
ecc,B-SKILLS
to,O
siebel,B-SKILLS
crm,I-SKILLS
to,O
support,O
quoteorder,O
processes,O
     ,O
setting,O
up,O
the,O
product,O
and,O
pricing,O
structure,O
in,O
salesforcecom,O
and,O
the,O
interface,O
between,O
sap,B-SKILLS
ecc,B-SKILLS
to,O
salesforcecom,O
to,O
support,O
quoteorder,O
processes,O
     ,O
define,O
and,O
design,O
the,O
product,O
selection,O
ui,O
screens,O
in,O
sales,O
force,O
and,O
sap,B-SKILLS
crm,B-SKILLS
used,O
by,O
the,O
sales,O
representatives,O
to,O
create,O
opportunityquotes,O
     ,O
design,O
and,O
implement,O
the,O
bulk,O
update,O
process,O
to,O
carry,O
out,O
the,O
list,O
prices,O
and,O
customer,O
specific,O
prices,O
in,O
sap,B-SKILLS
ecc,B-SKILLS
and,O
siebel,B-SKILLS
to,O
support,O
the,O
annual,O
price,O
increase,O
exercise,O
     ,O
managing,O
the,O
decommissioningshut,O
down,O
of,O
legacy,O
billing,O
applications,O
     ,O
analysis,O
and,O
design,O
of,O
the,O
etl,O
process,O
for,O
archiving,O
the,O
legacy,O
data,O
from,O
various,O
legacy,O
applications,O
to,O
support,O
tax,O
audits,O
finance,O
reporting,O
billing,O
and,O
invoicing,O
dispute,O
management,O
      ,O
managing,O
and,O
working,O
with,O
the,O
3rd,O
party,O
vendors,O
     ,O
prepare,O
functional,O
specification,O
documents,O
and,O
perform,O
functional,B-SKILLS
unit,I-SKILLS
testing,I-SKILLS
of,O
the,O
salesforcecom,O
and,O
sap,O
solutions,O
     ,O
liaise,O
with,O
the,O
business,O
and,O
the,O
development,O
and,O
qa,B-SKILLS
teams,O
      ,O
assisting,O
business,O
during,O
the,O
user,B-SKILLS
acceptance,I-SKILLS
testing,I-SKILLS
     ,O
prepare,O
and,O
present,O
progress,O
reports,O
and,O
weekly,O
status,O
reports,O
     ,O
offshoreonsite,O
delivery,O
management,O
     ,O
project,O
managementpmo,O
activities,O
such,O
as,O
project,O
planning,O
capacity,O
planning,O
scoping,O
estimation,O
and,O
change,O
management,O
      ,O
review,O
  ,O
tracking,O
completion,O
of,O
design,O
documents,O
source,O
code,O
unit,B-SKILLS
test,I-SKILLS
plans,O
and,O
unit,B-SKILLS
test,I-SKILLS
case,O
documents,O
     ,O
involved,O
in,O
all,O
phases,O
of,O
project,O
lifecycle,O
from,O
design,O
to,O
deployment,O
     ,O
coordination,O
across,O
teams,O
and,O
vendors,O
     ,O
manage,O
and,O
provide,O
post,O
release,O
support,O
and,O
application,O
maintenance,O
     ,O
bau,O
activities,O
including,O
defect,O
management,O
      ,O
document,O
managementtracking,O
using,O
sharepoint,B-COMPANY
       ,O
mahindra,B-COMPANY
satyam,I-COMPANY
new,B-LOCATION
york,I-LOCATION
ny,O
usalondon,O
ukhyderabad,O
ind,O
                                ,O
oct,B-DATE
2003,I-DATE
–,O
sep,B-DATE
2011,I-DATE
    ,O
employment,O
type,O
full,O
time,O
  ,O
client,O
state,O
farm,O
insurancethomson,O
reuters,O
    ,O
roles,O
and,O
responsibilities,O
    ,O
senior,O
business,O
systems,B-SKILLS
analyst,I-SKILLS
                                                                                                          ,O
jul,B-DATE
2008,I-DATE
–,O
sep,B-DATE
2011,I-DATE
     ,O
business,O
requirement,O
gathering,O
and,O
analysis,O
     ,O
manage,O
the,O
design,O
development,O
and,O
implementation,O
of,O
software,O
solutions,O
     ,O
prepare,O
functional,O
specification,O
documents,O
and,O
perform,O
functional,B-SKILLS
unit,I-SKILLS
testing,I-SKILLS
     ,O
implement,O
and,O
maintain,O
the,O
thomson,B-COMPANY
reuters,I-COMPANY
product,I-COMPANY
and,O
pricing,O
details,O
in,O
sap,B-SKILLS
ecc,I-SKILLS
and,O
siebel,B-SKILLS
crm,I-SKILLS
     ,O
support,O
the,O
implementation,O
of,O
orderbilling,O
  ,O
invoice,O
integration,O
between,O
siebel,B-SKILLS
crm,I-SKILLS
and,O
sap,B-SKILLS
ecc,B-SKILLS
     ,O
manage,O
the,O
maintenance,O
of,O
the,O
thomson,B-COMPANY
reuters,I-COMPANY
legacy,I-COMPANY
order,O
entitlement,O
and,O
billing,O
applications,O
viz,O
compass,O
spm,O
and,O
iras,O
which,O
are,O
mainframe,O
applications,O
collectively,O
known,O
as,O
core,O
suite,O
     ,O
maintain,O
the,O
legacy,O
product,O
and,O
pricing,O
details,O
in,O
core,O
suite,O
     ,O
design,O
and,O
implement,O
major,O
enhancement,O
projects,O
within,O
core,O
suite,O
     ,O
design,O
and,O
implement,O
major,O
enhancement,O
projects,O
integrating,O
siebel,B-SKILLS
crm,I-SKILLS
to,O
core,O
suite,O
to,O
support,O
orders,O
and,O
billing,O
     ,O
implementing,O
the,O
legacy,O
billing,O
to,O
sap,O
billing,O
migration,O
     ,O
implementing,O
the,O
legacy,O
system,O
decommissioning,O
and,O
shut,O
down,O
     ,O
application,O
support,O
and,O
resolving,O
issuesbusiness,O
queries,O
     ,O
liaise,O
with,O
the,O
business,O
and,O
the,O
development,O
and,O
qa,B-SKILLS
teams,O
      ,O
assisting,O
business,O
during,O
the,O
user,B-SKILLS
acceptance,I-SKILLS
testing,I-SKILLS
     ,O
prepare,O
and,O
manage,O
project,O
plans,O
that,O
encompasses,O
data,O
conversion,O
product,O
customization,O
hardware,O
and,O
network,O
preparation,O
and,O
production,O
deployment,O
including,O
training,O
testing,O
and,O
rollout,O
for,O
all,O
the,O
thomson,B-COMPANY
reuters,I-COMPANY
applications,O
in,O
scope,O
     ,O
managing,O
the,O
maintenance,O
projects,O
across,O
all,O
mahindra,B-COMPANY
satyam,I-COMPANY
supported,O
tr,O
applications,O
     ,O
collaboration,O
with,O
the,O
thomson,B-COMPANY
reuters,I-COMPANY
programproject,O
managers,O
     ,O
team,O
management,O
including,O
coordination,O
across,O
teamsvendors,O
     ,O
project,O
managementpmo,O
  ,O
effort,O
estimation,O
cost,O
estimation,O
resource,O
requirements,O
work,O
allocation,O
dailyweeklyad,O
hoc,O
status,O
reports,O
     ,O
document,O
managementtracking,O
using,O
sharepoint,O
     ,O
quality,O
management,O
     ,O
client,O
interaction,O
and,O
communications,O
    ,O
systems,O
analyst,O
project,O
lead,O
                                                                                                            ,O
oct,B-DATE
2003,I-DATE
–,O
jun,B-DATE
2008,I-DATE
     ,O
requirement,O
gathering,O
and,O
analysis,O
     ,O
design,O
development,O
and,O
implementation,O
of,O
software,O
solutions,O
     ,O
software,O
review,O
and,O
defect,O
management,O
     ,O
maintenance,O
of,O
the,O
thomson,B-COMPANY
reuters,I-COMPANY
legacy,O
order,O
entitlement,O
and,O
billing,O
applications,O
viz,O
compass,O
spm,O
and,O
iras,O
which,O
are,O
mainframe,O
applications,O
collectively,O
known,O
as,O
core,O
suite,O
     ,O
design,O
and,O
development,O
of,O
the,O
interface,O
between,O
siebel,B-SKILLS
crm,I-SKILLS
and,O
core,O
suite,O
to,O
support,O
legacy,O
order,O
entitlement,O
and,O
billing,O
processes,O
     ,O
design,O
and,O
development,O
of,O
the,O
integration,O
between,O
legacies,O
exthomson,O
application,O
to,O
core,O
suite,O
billing,O
via,O
siebel,B-SKILLS
crm,I-SKILLS
     ,O
analysis,O
design,O
and,O
development,O
for,O
various,O
enhancement,O
projects,O
within,O
core,O
suite,O
as,O
per,O
the,O
business,O
drivers,O
and,O
requirements,O
     ,O
managing,O
and,O
maintaining,O
the,O
data,O
flow,O
between,O
core,O
suite,O
and,O
its,O
various,O
downstream,O
applications,O
used,O
by,O
different,O
user,O
groups,O
for,O
finance,O
tax,O
and,O
customer,O
install,O
position,O
reporting,O
     ,O
team,O
management,O
including,O
coordination,O
across,O
teamsvendors,O
     ,O
effort,O
estimation,O
cost,O
estimation,O
resource,O
requirements,O
and,O
allocation,O
     ,O
work,O
allocation,O
dailyweeklyad,O
hoc,O
status,O
reports,O
     ,O
document,O
managementtracking,O
using,O
sharepoint,O
     ,O
quality,O
management,O
     ,O
client,O
interaction,O
and,O
communications,O
      ,O
education,O
     ,O
bachelor,B-EDUCATION
of,I-EDUCATION
engineering,I-EDUCATION
in,I-EDUCATION
electrical,I-EDUCATION
  ,O
motilal,B-COLLEGE
nehru,I-COLLEGE
regional,I-COLLEGE
engineering,I-COLLEGE
college,I-COLLEGE
allahabad,B-LOCATION
india,I-LOCATION
may,B-DATE
2002,I-DATE
gpa,O
35,O
760,O
tahir,B-PERSON
hussain,I-PERSON
  ,O
phone,O
224,B-NUMBER
6169477,I-NUMBER
  ,O
email,O
tahirhussainngmailcom,B-EMAIL
  ,O
summary,O
   ,O
over,O
six,B-DATE
years,I-DATE
of,O
experience,O
in,O
software,O
quality,B-SKILLS
assurance,I-SKILLS
as,O
qa,B-SKILLS
analyst,O
with,O
good,O
understanding,O
of,O
software,O
development,O
life,O
cycle,O
sdlc,B-SKILLS
software,O
testing,O
life,O
cycle,O
stlc,O
using,O
hpalm,O
quality,O
center,O
for,O
writing,O
and,O
executing,O
test,B-SKILLS
plans,I-SKILLS
test,B-SKILLS
cases,I-SKILLS
and,O
test,O
scripts,O
reporting,O
bugs,O
    ,O
proficient,O
with,O
sql,B-SKILLS
queries,I-SKILLS
and,O
relational,O
database,O
management,O
system,O
and,O
writing,O
sql,B-SKILLS
queries,I-SKILLS
to,O
retrieve,O
manipulate,O
update,O
and,O
insert,O
data,O
    ,O
extensive,O
qa,B-SKILLS
experience,O
in,O
all,O
phases,O
of,O
software,O
development,O
lifecycle,O
including,O
requirements,O
gathering,O
project,O
planning,O
defect,O
tracking,O
and,O
bugs,O
reporting,O
writing,O
and,O
executing,O
test,B-SKILLS
plans,I-SKILLS
test,B-SKILLS
cases,I-SKILLS
and,O
test,O
scripts,O
    ,O
good,O
knowledge,O
of,O
manual,O
testing,O
black,B-SKILLS
box,I-SKILLS
testing,I-SKILLS
functional,B-SKILLS
testing,I-SKILLS
regression,B-SKILLS
testing,I-SKILLS
integration,B-SKILLS
testing,I-SKILLS
user,B-SKILLS
acceptance,I-SKILLS
testing,I-SKILLS
uat,B-SKILLS
database,B-SKILLS
and,O
backend,B-SKILLS
testing,I-SKILLS
    ,O
excellent,O
knowledge,O
of,O
sdlc,B-SKILLS
stlc,B-SKILLS
and,O
development,O
methodologies,O
like,O
agile,B-SKILLS
and,O
waterfall,B-SKILLS
methodologies,O
      ,O
possess,O
good,O
functional,O
knowledge,O
of,O
financial,O
and,O
healthcare,O
industries,O
     ,O
excellent,O
analytical,O
communication,O
and,O
interpersonal,O
skills,O
     ,O
tracking,O
tools,O
       ,O
hpalm,O
quality,O
center,O
railroad,O
track,O
teamtrack,O
rpm,B-SKILLS
test,I-SKILLS
director,O
                                   ,O
element,O
tool,O
and,O
test,O
manager,O
   ,O
operating,O
system,O
    ,O
linuxunix,O
msdos,O
windows,O
nt2000xp2003vista,O
    ,O
office,O
tool,O
            ,O
word,O
excel,B-SKILLS
powerpoint,B-SKILLS
    ,O
experience,O
    ,O
ridge,B-COMPANY
medical,I-COMPANY
center,I-COMPANY
chicago,B-LOCATION
il,I-LOCATION
   ,O
qa,B-SKILLS
analyst,O
  ,O
manual,O
tester,O
database,B-SKILLS
analyst,I-SKILLS
june,B-DATE
2015,I-DATE
to,O
october,B-DATE
2017,I-DATE
  ,O
writing,O
sql,B-SKILLS
queries,I-SKILLS
to,O
retrieve,O
manipulate,O
update,O
and,O
insert,O
data,O
database,B-SKILLS
analyses,I-SKILLS
and,O
used,O
sql,B-SKILLS
queries,I-SKILLS
to,O
validate,O
the,O
data,O
in,O
oracle,B-SKILLS
11,I-SKILLS
g,O
database,O
  ,O
writing,O
and,O
executing,O
test,B-SKILLS
plans,I-SKILLS
and,O
test,B-SKILLS
cases,I-SKILLS
reporting,O
bugs,O
on,O
hpalm,O
quality,O
center,O
  ,O
preparing,O
requirement,O
traceability,O
matrix,O
  ,O
functional,B-SKILLS
testing,I-SKILLS
integration,O
and,O
regression,B-SKILLS
testing,I-SKILLS
       ,O
national,O
association,O
boards,O
of,O
pharmacy,O
nabp,O
mt,O
prospect,O
il,O
   ,O
qa,B-SKILLS
analyst,I-SKILLS
  ,O
manual,O
tester,O
database,B-SKILLS
analyst,I-SKILLS
april,B-DATE
2013–,I-DATE
may,B-DATE
2015,I-DATE
  ,O
worked,O
on,O
pharmacy,O
nabppreexams,O
erp,O
system,O
   ,O
prepared,O
test,B-SKILLS
plan,I-SKILLS
and,O
test,B-SKILLS
cases,I-SKILLS
for,O
the,O
project,O
and,O
developed,O
test,O
strategy,O
  ,O
developed,O
scenarios,O
for,O
regression,B-SKILLS
testing,I-SKILLS
integration,B-SKILLS
testing,I-SKILLS
functional,B-SKILLS
testing,I-SKILLS
and,O
backend,B-SKILLS
testing,I-SKILLS
which,O
covers,O
more,O
than,O
90,O
of,O
critical,O
scenarios,O
for,O
the,O
application,O
   ,O
executed,O
sql,B-SKILLS
queries,I-SKILLS
for,O
data,O
validation,O
to,O
check,O
data,O
integrity,O
error,O
handling,O
data,O
redundancy,O
and,O
data,O
consistency,O
   ,O
interacted,O
with,O
different,O
development,O
teams,O
to,O
coordinate,O
testing,O
    ,O
idi,O
consulting,O
–,O
pittsburgh,O
pa,O
    ,O
qa,B-SKILLS
analyst,I-SKILLS
  ,O
manual,O
tester,O
database,B-SKILLS
analyst,I-SKILLS
feb,B-DATE
2012,I-DATE
–,O
december,B-DATE
2013,I-DATE
  ,O
prepared,O
test,B-SKILLS
plan,I-SKILLS
and,O
test,B-SKILLS
cases,I-SKILLS
for,O
the,O
project,O
and,O
developed,O
test,O
strategy,O
test,B-SKILLS
plans,I-SKILLS
and,O
created,O
test,B-SKILLS
cases,I-SKILLS
by,O
going,O
through,O
all,O
the,O
documentation,O
walk,O
through,O
and,O
detailed,O
design,O
documents,O
   ,O
developed,O
scenarios,O
for,O
functional,B-SKILLS
testing,I-SKILLS
regression,B-SKILLS
testing,I-SKILLS
integration,B-SKILLS
testing,I-SKILLS
system,B-SKILLS
testing,I-SKILLS
